product_id,product_name,category,unit_price
PROD_1004,Field & Stream Sportsman 16 Gun Fire Safe,Fishing,399.98
PROD_1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,49.98
PROD_1073,Pelican Sunstream 100 Kayak,Water Sports,199.99
PROD_116,Nike Men's Comfort 2 Slide,Tennis & Racquet,44.99
PROD_191,Nike Men's Free 5.0+ Running Shoe,Cardio Equipment,99.99
PROD_365,Perfect Fitness Perfect Rip Deck,Cleats,59.99
PROD_403,Nike Men's CJ Elite 2 TD Football Cleat,Men's Footwear,129.99
PROD_502,Nike Men's Dri-FIT Victory Golf Polo,Women's Apparel,50.0
PROD_565,adidas Youth Germany Black/Red Away Match Soc,Girls' Apparel,70.0
PROD_627,Under Armour Girls' Toddler Spine Surge Runni,Shop By Sport,39.99
PROD_957,Diamondback Women's Serene Classic Comfort Bi,Camping & Hiking,299.98
PROD_977,ENO Atlas Hammock Straps,Hunting & Shooting,29.99
